Rank in 2020,Institution Name,Country,Overall Score
291,Royal Holloway University of London,United Kingdom,34.8
291,Universit‰t Frankfurt am Main,Germany,34.8
291,University of Tasmania,Australia,34.8
296,University of Indonesia,Indonesia,34.7
296,University of Strathclyde,United Kingdom,34.7
298,Universidad Carlos III de Madrid,Spain,34.6
298,Universiti Brunei Darussalam (UBD),Brunei,34.6
300,Universitat PolitËcnica de Catalunya,Spain,34.5
301,University of Tartu,Estonia,34.4
302,Moscow Institute of Physics and Technology State University,Russia,34.3
302,Universit‡ degli Studi di Milano,Italy,34.3
302,University of Dundee,United Kingdom,34.3
305,UniversitÈ Paris 1 PanthÈon-Sorbonne,France,34.2
305,"University of Massachusetts, Amherst",United States,34.2
307,Xi'an Jiaotong University,China,34.1
308,Universit‰t Kˆln,Germany,34
309,"SOAS - School of Oriental and African Studies, University of London",United Kingdom,33.9
310,University College Cork (UCC),Ireland,33.7
311,Technische Universit‰t Graz,Austria,33.6
312,ENS Paris-Saclay,France,33.5
312,Indiana University Bloomington,United States,33.5
314,Heriot-Watt University,United Kingdom,33.4
314,Mahidol University,Thailand,33.4
314,Simon Fraser University,Canada,33.4
314,Universit‰t Mannheim,Germany,33.4
314,University of East Anglia (UEA),United Kingdom,33.4
319,Universit‰t Erlangen-N¸rnberg,Germany,33.3
320,Griffith University,Australia,33.2
320,Universitas Gadjah Mada,Indonesia,33.2
322,Gwangju Institute of Science and Technology (GIST),South Korea,33.1
322,National Research University - Higher School of Economics (HSE),Russia,33.1
324,Aalborg University,Denmark,33
324,Linkˆping University,Sweden,33
326,University of Hawaii at M?Ånoa,United States,32.9
327,Virginia Polytechnic Institute (Virginia Tech),United States,32.7
328,"Birkbeck College, University of London",United Kingdom,32.6
329,"National Research Nuclear University ""MEPhI"" (Moscow Engineering Physics Institute)",Russia,32.4
329,United Arab Emirates University,United Arab Emirates,32.4
331,Bandung Institute of Technology (ITB),Indonesia,32.3
331,Ewha Womans University,South Korea,32.3
331,National Taiwan Normal University,Taiwan,32.3
334,Hiroshima University,Japan,32.2
335,IE University,Spain,32.1
336,George Washington University,United States,32
336,Universidad Politecnica de Valencia,Spain,32
338,Jagiellonian University,Poland,31.9
338,University of Lisbon,Portugal,31.9
340,UmeÂ University,Sweden,31.8
340,Universit‰t Jena,Germany,31.8
340,Universit‰t Ulm,Germany,31.8
340,University at Buffalo SUNY,United States,31.8
344,Northeastern University,United States,31.7
344,Pontificia Universidad CatÛlica Argentina Santa MarÌa de los Buenos Aires (UCA),Argentina,31.7
346,University of Jyv‰skyl‰,Finland,31.6
347,Westf‰lische Wilhelms-Universit‰t M¸nster,Germany,31.3
348,Politecnico di Torino,Italy,31.2
349,"City, University of London",United Kingdom,31.1
349,University of Warsaw,Poland,31.1
351,Belarus State University,Belarus,31
351,UniversitÈ Grenoble-Alpes (UGA),France,31
353,University of Porto,Portugal,30.9
353,University of Utah,United States,30.9
355,"University of Chemistry and Technology, Prague",Czech Republic,30.8
356,Lincoln University,New Zealand,30.7
356,University of the Philippines,Philippines,30.7
358,Universidade Federal do Rio de Janeiro,Brazil,30.6
359,Brunel University,United Kingdom,30.5
359,Norwegian University of Science and Technology,Norway,30.5
359,Stony Brook University,United States,30.5
359,Tokyo Medical and Dental University,Japan,30.5
359,Yeshiva University,United States,30.5
364,University of Victoria,Canada,30.4
364,Ural Federal University,Russia,30.4
366,Moscow State Institute of International Relations ñ MGIMO University,Russia,30.3
367,"University of California, Santa Cruz (UCSC)",United States,30.2
368,Nankai University,China,29.8
368,University of Kent,United Kingdom,29.8
370,University of Essex,United Kingdom,29.7
371,American University of Sharjah,United Arab Emirates,29.6
371,Tilburg University,Netherlands,29.6
373,University of Kansas,United States,29.4
373,University of Southern Denmark,Denmark,29.4
375,University of Oulu,Finland,29.3
376,Pakistan Institute of Engineering and Applied Sciences (PIEAS),Pakistan,29.2
377,Oxford Brookes University,United Kingdom,29.1
378,James Cook University (JCU),Australia,29
378,University of Connecticut,United States,29
380,Sultan Qaboos University,Oman,28.9
380,Taipei Medical University,Taiwan,28.9
380,UniversitÈ de Strasbourg,France,28.9
380,Universiti Teknologi Brunei,Brunei,28.9
384,Indian Institute of Technology Roorkee (IITR),India,28.8
384,Rensselaer Polytechnic Institute,United States,28.8
384,Swinburne University of Technology,Australia,28.8
384,Universidad de Palermo,Argentina,28.8
388,Tomsk Polytechnic University,Russia,28.7
388,University of Macau,Macau,28.7
390,Universit‡ degli Studi di Trento,Italy,28.6
390,Universit‡ di Pisa,Italy,28.6
390,University of Tromso,Norway,28.6
393,Kazan Federal University,Russia,28.5
393,RUDN University,Russia,28.5
393,University of Colorado at Denver,United States,28.5
396,Kobe University,Japan,28.4
396,Tampere University,Finland,28.4
